# http://corpus.zhonghuayuwen.org/resources.aspx
了,1.3624
在,1.2434
是,1.2403
和,0.8786
一,0.8489
这,0.6817
有,0.5604
他,0.5537
我,0.5518
也,0.5013
不,0.4915
就,0.4703
地,0.443
着,0.4303
中,0.4275
上,0.3985
说,0.3707
都,0.3592
人,0.3557
个,0.3298
对,0.3237
种,0.3152
把,0.3113
为,0.3062
要,0.3039
你,0.3011
而,0.2972
来,0.2934
我们,0.2807
又,0.2691
一个,0.2596
与,0.2493
从,0.2485
年,0.2305
到,0.2275
还,0.2213
它,0.2202
大,0.2188
等,0.2115
她,0.2084
两,0.2045
去,0.1984
没有,0.1983
里,0.1968
得,0.1957
时,0.191
多,0.189
他们,0.1861
发展,0.1814
用,0.1806
那,0.18
以,0.1798
所,0.179
很,0.1755
可以,0.1751
使,0.1734
但,0.167
自己,0.1548
小,0.1518
之,0.151
能,0.1508
下,0.147
或,0.1456
看,0.144
就是,0.1435
被,0.1426
什么,0.1422
三,0.1383
这个,0.1382
会,0.136
好,0.1325
可,0.1304
后,0.1271
这样,0.1254
给,0.1222
向,0.1215
社会,0.1199
由,0.1194
进行,0.116
问题,0.1141
工作,0.1102
如,0.1099
呢,0.1091
于,0.1077
其,0.1068
起来,0.1067
国家,0.1061
过,0.1051
不能,0.105
并,0.1045
这些,0.1044
生产,0.1
生活,0.0997
只,0.0985
将,0.0975
新,0.0972
想,0.0958
几,0.0956
因为,0.0939
不是,0.0937
经济,0.0914
更,0.0909
研究,0.0906
已,0.0903
当,0.0884
却,0.0876
主要,0.0874
再,0.0858
由于,0.0845
我国,0.0835
最,0.0833
关系,0.0832
作用,0.0829
不同,0.0822
中国,0.0815
才,0.0814
人们,0.0806
出,0.0804
但是,0.0803
现在,0.08
则,0.0797
需要,0.0796
所以,0.0787
因此,0.0776
如果,0.0772
已经,0.077
一定,0.0766
们,0.0763
各,0.0761
重要,0.0747
象,0.0743
一些,0.074
情况,0.0724
吧,0.072
二,0.0716
次,0.0715
月,0.0715
便,0.0711
知道,0.0709
时候,0.0703
做,0.0702
必须,0.0701
成,0.07
人民,0.0698
四,0.0691
走,0.069
出来,0.0688
活动,0.0687
同,0.0687
